"","...1","Timestamp","ID","Age","Gender","Condition","ReactionTime","keypress","Stimulus","File","stimcolour","correct","congruency"
"350",51,"2021_Dec_13_1008","hej",23,"Female","2",1.11167565800133,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"351",52,"2021_Dec_13_1008","hej",23,"Female","2",1.06387676400482,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"352",53,"2021_Dec_13_1008","hej",23,"Female","2",1.09424507201766,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"353",54,"2021_Dec_13_1008","hej",23,"Female","2",1.30748680600664,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"354",55,"2021_Dec_13_1008","hej",23,"Female","2",2.19697614200413,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"355",56,"2021_Dec_13_1008","hej",23,"Female","2",1.46529213199392,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"356",57,"2021_Dec_13_1008","hej",23,"Female","2",0.931349660997512,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"357",58,"2021_Dec_13_1008","hej",23,"Female","2",2.91701937600737,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"358",59,"2021_Dec_13_1008","hej",23,"Female","2",1.62633831298444,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"359",0,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.629882491979515,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"360",1,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.548114245000761,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"361",3,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",2.39709996798774,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"362",4,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.536601611995138,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"363",5,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.868141835991992,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"364",6,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",2.03732132702135,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"365",7,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.723219993000384,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"366",8,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.723057864001021,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"367",9,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.804781911981991,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"368",10,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.80567759097903,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"369",12,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.09594614000525,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"370",13,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.786948467983166,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"371",14,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.727911024005152,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"372",15,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.42499521799618,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"373",16,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",2.84864810798899,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"374",18,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",2.31920416399953,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"375",19,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.888723493990256,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"376",21,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.520812678005314,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"377",22,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",2.80105782099417,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"378",23,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.869021736987634,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"379",24,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.26744222498382,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"380",25,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.36530399500043,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"381",26,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.644047773996135,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"382",27,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.27128872901085,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"383",28,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.86172979298863,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"384",29,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.03334935201565,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"385",30,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.799252890981734,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"386",31,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.5144509949896,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"387",32,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.641154646000359,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"388",33,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.972654065000825,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"389",34,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.65671908200602,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"390",35,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.516069012985099,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"391",36,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.614879886008566,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"392",37,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.05848046101164,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"393",38,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.563350793992868,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"394",39,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.33622633302002,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"395",40,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.25157216598745,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"396",41,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.41275693598436,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"397",42,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.499371988989879,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"398",43,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.554424061992904,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"399",44,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.509456244006287,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"400",45,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.64215066601173,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"401",46,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.71159254599479,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"402",47,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.80620631098282,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"403",48,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.91281689397874,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"404",50,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.30176983098499,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"405",51,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.22655441399547,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"406",52,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.886636698007351,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"407",53,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.05002268098178,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"408",54,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.568705291021615,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"409",55,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.660306711011799,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"410",56,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.24979339700076,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"411",57,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.595504518016241,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"412",58,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",1.72658655399573,"r","r","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","r",1,"0"
"413",59,"2021_Dec_13_1456","hejviprøverigen",22,"Female","0",0.566579848004039,"y","y","logfile_hejviprøverigen_2021_Dec_13_1456_0.csv","y",1,"0"
"414",0,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.16472466604318,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"415",1,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.916526874992996,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"416",2,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.63990333297988,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"417",3,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.811620166990906,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"418",4,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.89655012497678,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"419",5,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.34539370902348,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"420",6,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.15028891601833,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"421",7,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.515081375022419,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"422",8,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.553026625013445,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
